Ligand,Receptor,Annotation,Reference
GDF7,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893293
GDF7,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893293
BMP15,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893294
BMP15,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893294
BMP5,ACVR1,Secreted Signaling,KEGG: hsa04350; PMID:26893295
BMP5,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893295
BMP5,ACVR1,Secreted Signaling,KEGG: hsa04350; PMID:26893296
BMP5,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893296
BMP5,ACVR1,Secreted Signaling,KEGG: hsa04350; PMID:26893297
BMP5,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893297
BMP5,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893298
BMP5,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893298
BMP5,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893299
BMP5,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893299
BMP5,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893300
BMP5,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893300
BMP5,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893301
BMP5,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893301
BMP5,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893302
BMP5,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893302
BMP5,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893303
BMP5,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893303
BMP6,ACVR1,Secreted Signaling,KEGG: hsa04350; PMID:26893304
BMP6,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893304
BMP6,ACVR1,Secreted Signaling,KEGG: hsa04350; PMID:26893305
BMP6,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893305
BMP6,ACVR1,Secreted Signaling,KEGG: hsa04350; PMID:26893306
BMP6,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893306
BMP6,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893307
