Ligand,Receptor,Annotation,Reference
CCK,CCKAR,Secreted Signaling,KEGG: hsa04080
CCK,CCKBR,Secreted Signaling,KEGG: hsa04080
EDN1,EDNRA,Secreted Signaling,KEGG: hsa04080
EDN2,EDNRA,Secreted Signaling,KEGG: hsa04080
EDN3,EDNRA,Secreted Signaling,KEGG: hsa04080
EDN1,EDNRB,Secreted Signaling,KEGG: hsa04080
EDN2,EDNRB,Secreted Signaling,KEGG: hsa04080
EDN3,EDNRB,Secreted Signaling,KEGG: hsa04080
GAL,GALR1,Secreted Signaling,KEGG: hsa04080
GAL,GALR2,Secreted Signaling,KEGG: hsa04080
GAL,GALR3,Secreted Signaling,KEGG: hsa04080
GALP,GALR1,Secreted Signaling,PMID: 23233848
GALP,GALR2,Secreted Signaling,PMID: 23233848
GHRL,GHSR,Secreted Signaling,KEGG: hsa04080; PMID: 29233536
KISS1,KISS1R,Secreted Signaling,KEGG: hsa04080
POMC,MC1R,Secreted Signaling,KEGG: hsa04080
POMC,MC2R,Secreted Signaling,KEGG: hsa04080
POMC,MC3R,Secreted Signaling,KEGG: hsa04080; PMID: 11024027
POMC,MC4R,Secreted Signaling,KEGG: hsa04080; PMID: 11024027
POMC,MC5R,Secreted Signaling,KEGG: hsa04080
NMU,NMUR1,Secreted Signaling,KEGG: hsa04080
NMU,NMUR2,Secreted Signaling,KEGG: hsa04080
NMS,NMUR1,Secreted Signaling,PMID: 29288685
NMS,NMUR2,Secreted Signaling,PMID: 29288685
NPFF,NPFFR1,Secreted Signaling,KEGG: hsa04080
NPFF,NPFFR2,Secreted Signaling,KEGG: hsa04080
NPY,NPY1R,Secreted Signaling,KEGG: hsa04080
NPY,NPY2R,Secreted Signaling,KEGG: hsa04080
NPY,NPY4R,Secreted Signaling,KEGG: hsa04080
NPY,NPY5R,Secreted Signaling,KEGG: hsa04080
NPY,NPY6R,Secreted Signaling,KEGG: hsa04080
NPY,GPR83,Secreted Signaling,KEGG: hsa04080
PPY,NPY1R,Secreted Signaling,KEGG: hsa04080
PPY,NPY2R,Secreted Signaling,KEGG: hsa04080
PPY,NPY4R,Secreted Signaling,KEGG: hsa04080
PPY,NPY5R,Secreted Signaling,KEGG: hsa04080
PPY,NPY6R,Secreted Signaling,KEGG: hsa04080
PPY,GPR83,Secreted Signaling,KEGG: hsa04080
PYY,NPY1R,Secreted Signaling,KEGG: hsa04080
PYY,NPY2R,Secreted Signaling,KEGG: hsa04080
PYY,NPY4R,Secreted Signaling,KEGG: hsa04080
PYY,NPY5R,Secreted Signaling,KEGG: hsa04080
PYY,NPY6R,Secreted Signaling,KEGG: hsa04080
PYY,GPR83,Secreted Signaling,KEGG: hsa04080
NPB,NPBWR1,Secreted Signaling,KEGG: hsa04080
NPW,NPBWR1,Secreted Signaling,KEGG: hsa04080
NTS,NTSR1,Secreted Signaling,KEGG: hsa04080
NTS,NTSR2,Secreted Signaling,KEGG: hsa04080
PDYN,OPRD1,Secreted Signaling,KEGG: hsa04080
PDYN,OPRK1,Secreted Signaling,KEGG: hsa04080
PDYN,OPRL1,Secreted Signaling,KEGG: hsa04080
PDYN,OPRM1,Secreted Signaling,KEGG: hsa04080
PENK,OPRD1,Secreted Signaling,KEGG: hsa04080
PENK,OPRK1,Secreted Signaling,KEGG: hsa04080
PENK,OPRL1,Secreted Signaling,KEGG: hsa04080
PENK,OPRM1,Secreted Signaling,KEGG: hsa04080
POMC,OPRD1,Secreted Signaling,KEGG: hsa04080
POMC,OPRK1,Secreted Signaling,KEGG: hsa04080
POMC,OPRL1,Secreted Signaling,KEGG: hsa04080
POMC,OPRM1,Secreted Signaling,KEGG: hsa04080
HCRT,HCRTR1,Secreted Signaling,KEGG: hsa04080
HCRT,HCRTR2,Secreted Signaling,KEGG: hsa04080
OXT,OXTR,Secreted Signaling,KEGG: hsa04080
SST,SSTR1,Secreted Signaling,KEGG: hsa04080
SST,SSTR2,Secreted Signaling,KEGG: hsa04080
SST,SSTR3,Secreted Signaling,KEGG: hsa04080
SST,SSTR4,Secreted Signaling,KEGG: hsa04080
SST,SSTR5,Secreted Signaling,KEGG: hsa04080
CORT,SSTR1,Secreted Signaling,KEGG: hsa04080
CORT,SSTR2,Secreted Signaling,KEGG: hsa04080
CORT,SSTR3,Secreted Signaling,KEGG: hsa04080
CORT,SSTR4,Secreted Signaling,KEGG: hsa04080
CORT,SSTR5,Secreted Signaling,KEGG: hsa04080
TAC1,TACR1,Secreted Signaling,KEGG: hsa04080
TAC4,TACR1,Secreted Signaling,KEGG: hsa04080
TAC1,TACR2,Secreted Signaling,KEGG: hsa04080
TAC3,TACR3,Secreted Signaling,KEGG: hsa04080
UTS2,UTS2R,Secreted Signaling,KEGG: hsa04080
AVP,AVPR2,Secreted Signaling,KEGG: hsa04080
AVP,AVPR1A,Secreted Signaling,KEGG: hsa04080
AVP,AVPR1B,Secreted Signaling,KEGG: hsa04080
PRLH,PRLHR,Secreted Signaling,KEGG: hsa04080
PRSS3,F2R,Secreted Signaling,KEGG: hsa04080
CTSG,F2R,Secreted Signaling,KEGG: hsa04080
F2,F2R,Secreted Signaling,KEGG: hsa04080
PLG,F2R,Secreted Signaling,KEGG: hsa04080
GZMA,F2R,Secreted Signaling,KEGG: hsa04080
PRSS2,F2R,Secreted Signaling,KEGG: hsa04080
PRSS1,F2R,Secreted Signaling,KEGG: hsa04080
PRSS3,F2RL1,Secreted Signaling,KEGG: hsa04080
CTSG,F2RL1,Secreted Signaling,KEGG: hsa04080
F2,F2RL1,Secreted Signaling,KEGG: hsa04080
PLG,F2RL1,Secreted Signaling,KEGG: hsa04080
GZMA,F2RL1,Secreted Signaling,KEGG: hsa04080
PRSS2,F2RL1,Secreted Signaling,KEGG: hsa04080
PRSS1,F2RL1,Secreted Signaling,KEGG: hsa04080
PRSS3,F2RL2,Secreted Signaling,KEGG: hsa04080
CTSG,F2RL2,Secreted Signaling,KEGG: hsa04080
F2,F2RL2,Secreted Signaling,KEGG: hsa04080
PLG,F2RL2,Secreted Signaling,KEGG: hsa04080
GZMA,F2RL2,Secreted Signaling,KEGG: hsa04080
PRSS2,F2RL2,Secreted Signaling,KEGG: hsa04080
PRSS1,F2RL2,Secreted Signaling,KEGG: hsa04080
PRSS3,F2RL3,Secreted Signaling,KEGG: hsa04080
CTSG,F2RL3,Secreted Signaling,KEGG: hsa04080
F2,F2RL3,Secreted Signaling,KEGG: hsa04080
GZMA,F2RL3,Secreted Signaling,KEGG: hsa04080
PLG,F2RL3,Secreted Signaling,KEGG: hsa04080
PRSS2,F2RL3,Secreted Signaling,KEGG: hsa04080
PRSS1,F2RL3,Secreted Signaling,KEGG: hsa04080
PRSS3,PARD3,Secreted Signaling,KEGG: hsa04080
CTSG,PARD3,Secreted Signaling,KEGG: hsa04080
F2,PARD3,Secreted Signaling,KEGG: hsa04080
GZMA,PARD3,Secreted Signaling,KEGG: hsa04080
PLG,PARD3,Secreted Signaling,KEGG: hsa04080
PRSS2,PARD3,Secreted Signaling,KEGG: hsa04080
PRSS1,PARD3,Secreted Signaling,KEGG: hsa04080
PMCH,MCHR1,Secreted Signaling,KEGG: hsa04080
PROK1,PROKR2,Secreted Signaling,PMID: 24496457
PROK1,PROKR1,Secreted Signaling,PMID: 24496457
PROK2,PROKR1,Secreted Signaling,PMID: 24496457
PROK2,PROKR2,Secreted Signaling,PMID: 24496457
ADCYAP1,ADCYAP1R1,Secreted Signaling,PMID: 21350482
VIP,VIPR1,Secreted Signaling,PMID: 10655512
VIP,VIPR2,Secreted Signaling,KEGG: hsa04080
NPPA,NPR1,Secreted Signaling,KEGG: hsa04080; PMID: 29934640
NPPB,NPR1,Secreted Signaling,KEGG: hsa04080; PMID: 29934641
NPPC,NPR2,Secreted Signaling,KEGG: hsa04080; PMID: 29934642
KITLG,KIT,Secreted Signaling,KEGG: hsa04080
GCG,GIPR,Secreted Signaling,KEGG: hsa04080
GIP,GIPR,Secreted Signaling,KEGG: hsa04080
FSHB,FSHR,Secreted Signaling,KEGG: hsa04080
CGA,FSHR,Secreted Signaling,KEGG: hsa04080
LHB,LHCGR,Secreted Signaling,KEGG: hsa04080
CGA,LHCGR,Secreted Signaling,KEGG: hsa04080
TSHB,TSHR,Secreted Signaling,KEGG: hsa04080
CGA,TSHR,Secreted Signaling,KEGG: hsa04080
BDNF,NTRK2,Secreted Signaling,PMID: 27908981
NGF,NTRK1,Secreted Signaling,PMID: 27908981
FLT3LG,FLT3,Secreted Signaling,PMID: 25992210
HGF,MET,Secreted Signaling,PMID: 28475121
KLK3,NTRK1,Secreted Signaling,PMID: 27908981
NTF3,NTRK1,Secreted Signaling,PMID: 27908981
NTF3,NTRK2,Secreted Signaling,PMID: 27908981
NTF3,NTRK3,Secreted Signaling,PMID: 27908981
NTF4,NTRK2,Secreted Signaling,PMID: 27908981
SEMA3A,NRP1,Secreted Signaling,PMID: 27533782
SEMA3A,PLXNA1,Secreted Signaling,PMID: 27533782
SEMA3A,NRP1,Secreted Signaling,PMID: 27533782
SEMA3A,PLXNA2,Secreted Signaling,PMID: 27533782
SEMA3A,NRP1,Secreted Signaling,PMID: 27533782
SEMA3A,PLXNA3,Secreted Signaling,PMID: 27533782
SEMA3A,NRP1,Secreted Signaling,PMID: 27533782
SEMA3A,PLXNA4,Secreted Signaling,PMID: 27533782
SEMA3B,NRP1,Secreted Signaling,PMID: 27533782
SEMA3B,PLXNA1,Secreted Signaling,PMID: 27533782
SEMA3B,NRP1,Secreted Signaling,PMID: 27533782
SEMA3B,PLXNA2,Secreted Signaling,PMID: 27533782
SEMA3B,NRP1,Secreted Signaling,PMID: 27533782
SEMA3B,PLXNA3,Secreted Signaling,PMID: 27533782
SEMA3B,NRP1,Secreted Signaling,PMID: 27533782
SEMA3B,PLXNA4,Secreted Signaling,PMID: 27533782
SEMA3C,NRP1,Secreted Signaling,PMID: 27533782
SEMA3C,PLXNA1,Secreted Signaling,PMID: 27533782
SEMA3C,NRP1,Secreted Signaling,PMID: 27533782
SEMA3C,PLXNA2,Secreted Signaling,PMID: 27533782
SEMA3C,NRP1,Secreted Signaling,PMID: 27533782
SEMA3C,PLXNA3,Secreted Signaling,PMID: 27533782
SEMA3C,NRP1,Secreted Signaling,PMID: 27533782
SEMA3C,PLXNA4,Secreted Signaling,PMID: 27533782
SEMA3D,NRP1,Secreted Signaling,PMID: 27533782
SEMA3D,PLXNA1,Secreted Signaling,PMID: 27533782
SEMA3D,NRP1,Secreted Signaling,PMID: 27533782
SEMA3D,PLXNA2,Secreted Signaling,PMID: 27533782
SEMA3D,NRP1,Secreted Signaling,PMID: 27533782
SEMA3D,PLXNA3,Secreted Signaling,PMID: 27533782
SEMA3D,NRP1,Secreted Signaling,PMID: 27533782
SEMA3D,PLXNA4,Secreted Signaling,PMID: 27533782
SEMA3B,NRP2,Secreted Signaling,PMID: 27533782
SEMA3B,PLXNA1,Secreted Signaling,PMID: 27533782
SEMA3B,NRP2,Secreted Signaling,PMID: 27533782
SEMA3B,PLXNA2,Secreted Signaling,PMID: 27533782
SEMA3B,NRP2,Secreted Signaling,PMID: 27533782
SEMA3B,PLXNA3,Secreted Signaling,PMID: 27533782
SEMA3B,NRP2,Secreted Signaling,PMID: 27533782
SEMA3B,PLXNA4,Secreted Signaling,PMID: 27533782
SEMA3C,NRP2,Secreted Signaling,PMID: 27533782
SEMA3C,PLXNA1,Secreted Signaling,PMID: 27533782
SEMA3C,NRP2,Secreted Signaling,PMID: 27533782
SEMA3C,PLXNA2,Secreted Signaling,PMID: 27533782
SEMA3C,NRP2,Secreted Signaling,PMID: 27533782
SEMA3C,PLXNA3,Secreted Signaling,PMID: 27533782
SEMA3C,NRP2,Secreted Signaling,PMID: 27533782
SEMA3C,PLXNA4,Secreted Signaling,PMID: 27533782
SEMA3D,NRP2,Secreted Signaling,PMID: 27533782
SEMA3D,PLXNA1,Secreted Signaling,PMID: 27533782
SEMA3D,NRP2,Secreted Signaling,PMID: 27533782
SEMA3D,PLXNA2,Secreted Signaling,PMID: 27533782
SEMA3D,NRP2,Secreted Signaling,PMID: 27533782
SEMA3D,PLXNA3,Secreted Signaling,PMID: 27533782
SEMA3D,NRP2,Secreted Signaling,PMID: 27533782
SEMA3D,PLXNA4,Secreted Signaling,PMID: 27533782
SEMA3F,NRP2,Secreted Signaling,PMID: 27533782
SEMA3F,PLXNA1,Secreted Signaling,PMID: 27533782
SEMA3F,NRP2,Secreted Signaling,PMID: 27533782
SEMA3F,PLXNA2,Secreted Signaling,PMID: 27533782
SEMA3F,NRP2,Secreted Signaling,PMID: 27533782
SEMA3F,PLXNA3,Secreted Signaling,PMID: 27533782
SEMA3F,NRP2,Secreted Signaling,PMID: 27533782
SEMA3F,PLXNA4,Secreted Signaling,PMID: 27533782
SEMA3G,NRP2,Secreted Signaling,PMID: 27533782
SEMA3G,PLXNA1,Secreted Signaling,PMID: 27533782
SEMA3G,NRP2,Secreted Signaling,PMID: 27533782
SEMA3G,PLXNA2,Secreted Signaling,PMID: 27533782
SEMA3G,NRP2,Secreted Signaling,PMID: 27533782
SEMA3G,PLXNA3,Secreted Signaling,PMID: 27533782
SEMA3G,NRP2,Secreted Signaling,PMID: 27533782
SEMA3G,PLXNA4,Secreted Signaling,PMID: 27533782
SEMA3C,NRP1,Secreted Signaling,PMID: 27533782
SEMA3C,NRP2,Secreted Signaling,PMID: 27533782
SEMA3C,PLXND1,Secreted Signaling,PMID: 27533782
SEMA3C,PLXND1,Secreted Signaling,PMID: 27533782
SEMA3E,PLXND1,Secreted Signaling,PMID: 22325954
ADM,CALCR,Secreted Signaling,KEGG: hsa04080
ADM,CALCRL,Secreted Signaling,KEGG: hsa04080
AGT,MAS1,Secreted Signaling,KEGG: hsa04080
ANXA1,FPR2,Secreted Signaling,PMID: 23230437
ANXA1,FPR1,Secreted Signaling,PMID: 23230437
APELA,APLNR,Secreted Signaling,PMID: 25995451
CALCA,CALCR,Secreted Signaling,KEGG: hsa04080
CALCA,CALCRL,Secreted Signaling,KEGG: hsa04080
CALCB,CALCR,Secreted Signaling,KEGG: hsa04080
CALCB,CALCRL,Secreted Signaling,KEGG: hsa04080
CRH,CRHR1,Secreted Signaling,KEGG: hsa04080
CRH,CRHR2,Secreted Signaling,KEGG: hsa04080
ENHO,GPR19,Secreted Signaling,PMID: 28476646
GAS6,AXL,Secreted Signaling,PMID: 27801848
GAS6,MERTK,Secreted Signaling,PMID: 27801848
GAS6,TYRO3,Secreted Signaling,PMID: 27801848
GCG,GCGR,Secreted Signaling,KEGG: hsa04080
GCG,GLP1R,Secreted Signaling,KEGG: hsa04080
GCG,GLP2R,Secreted Signaling,KEGG: hsa04080
GH1,GHR,Secreted Signaling,PMID: 10551877
GH1,PRLR,Secreted Signaling,PMID: 23192981
GHRH,VIPR1,Secreted Signaling,PMID: 10655511
GHRH,VIPR2,Secreted Signaling,PMID: 10655511
GHRH,GHSR,Secreted Signaling,PMID: 19088192
GHRH,GHRHR,Secreted Signaling,PMID: 26917260
GNRH1,GNRHR,Secreted Signaling,PMID: 19640273
GRN,SORT1,Secreted Signaling,PMID: 29555433
GUCA2A,GUCY2C,Secreted Signaling,PMID: 22384056
GUCA2B,GUCY2C,Secreted Signaling,PMID: 22384056
IAPP,CALCR,Secreted Signaling,KEGG: hsa04080
IAPP,CALCRL,Secreted Signaling,KEGG: hsa04080
INSL3,RXFP2,Secreted Signaling,KEGG: hsa04080
INSL3,RXFP1,Secreted Signaling,KEGG: hsa04080
INSL3,RXFP4,Secreted Signaling,KEGG: hsa04080
INSL3,RXFP3,Secreted Signaling,KEGG: hsa04080
INSL5,RXFP4,Secreted Signaling,KEGG: hsa04080
INSL5,RXFP3,Secreted Signaling,KEGG: hsa04080
INSL5,RXFP2,Secreted Signaling,KEGG: hsa04080
INSL5,RXFP1,Secreted Signaling,KEGG: hsa04080
LEP,LEPR,Secreted Signaling,KEGG: hsa04080
LGALS9,PTPRC,Secreted Signaling,PMID: 30120235
NPS,NPSR1,Secreted Signaling,PMID: 19732772
NPVF,NPFFR1,Secreted Signaling,PMID: 29106375
NPVF,NPFFR2,Secreted Signaling,PMID: 29106375
OSTN,NPR3,Secreted Signaling,PMID: 29326144
PMCH,MERTK,Secreted Signaling,PMID: 30501104
PROS1,AXL,Secreted Signaling,PMID: 29531161
PROS1,TYRO3,Secreted Signaling,PMID: 30501104
PSAP,GPR37L1,Secreted Signaling,PMID: 23690594
PSAP,GPR37,Secreted Signaling,PMID: 23690594
PTH,PTH1R,Secreted Signaling,KEGG: hsa04080
PTH,PTH2R,Secreted Signaling,KEGG: hsa04080
PTH2,PTH1R,Secreted Signaling,KEGG: hsa04080
PTH2,PTH2R,Secreted Signaling,KEGG: hsa04080
PTHLH,PTH1R,Secreted Signaling,PMID: 29577935
QRFP,QRFPR,Secreted Signaling,PMID: 25386115
RARRES2,GPR1,Secreted Signaling,PMID: 24671882
RARRES2,CMKLR1,Secreted Signaling,PMID: 24671882
RLN1,RXFP2,Secreted Signaling,KEGG: hsa04080
RLN1,RXFP1,Secreted Signaling,KEGG: hsa04080
RLN1,RXFP3,Secreted Signaling,KEGG: hsa04080
RLN1,RXFP4,Secreted Signaling,KEGG: hsa04080
RLN3,RXFP3,Secreted Signaling,KEGG: hsa04080
RLN3,RXFP1,Secreted Signaling,KEGG: hsa04080
RLN3,RXFP4,Secreted Signaling,KEGG: hsa04080
RLN3,RXFP2,Secreted Signaling,KEGG: hsa04080
SAA1,FPR2,Secreted Signaling,PMID: 22610094
SCGB3A2,MARCO,Secreted Signaling,PMID: 12847263
SCT,SCTR,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRNB1,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRNB2,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRNB3,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRNB4,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRNA1,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRNA2,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRNA3,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRNA4,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRNA5,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRNA6,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRNA9,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRNA10,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRND,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRNE,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRNG,Secreted Signaling,KEGG: hsa04080
SLURP1,CHRNA7,Secreted Signaling,KEGG: hsa04080; PMID: 29545933;
SLURP2,CHRNB1,Secreted Signaling,KEGG: hsa04080
SLURP2,CHRNB2,Secreted Signaling,KEGG: hsa04080
SLURP2,CHRNB3,Secreted Signaling,KEGG: hsa04080
SLURP2,CHRNB4,Secreted Signaling,KEGG: hsa04080
SLURP2,CHRNA1,Secreted Signaling,KEGG: hsa04080
SLURP2,CHRNA2,Secreted Signaling,KEGG: hsa04080
SLURP2,CHRNA3,Secreted Signaling,KEGG: hsa04080
SLURP2,CHRNA4,Secreted Signaling,KEGG: hsa04080
SLURP2,CHRNA5,Secreted Signaling,KEGG: hsa04080
SLURP2,CHRNA6,Secreted Signaling,KEGG: hsa04080
SLURP2,CHRNA7,Secreted Signaling,KEGG: hsa04080
SLURP2,CHRNA9,Secreted Signaling,KEGG: hsa04080
SLURP2,CHRNA10,Secreted Signaling,KEGG: hsa04080
SLURP2,CHRND,Secreted Signaling,KEGG: hsa04080
SLURP2,CHRNE,Secreted Signaling,KEGG: hsa04080
SLURP2,CHRNG,Secreted Signaling,KEGG: hsa04080
BTLA,TNFRSF14,Secreted Signaling,PMID: 21941365
TRH,TRHR,Secreted Signaling,KEGG: hsa04080
UCN,CRHR1,Secreted Signaling,KEGG: hsa04080
UCN,CRHR2,Secreted Signaling,KEGG: hsa04080
UCN2,CRHR1,Secreted Signaling,KEGG: hsa04080
UCN2,CRHR2,Secreted Signaling,KEGG: hsa04080
UCN3,CRHR1,Secreted Signaling,KEGG: hsa04080
UCN3,CRHR2,Secreted Signaling,KEGG: hsa04080
UTS2B,UTS2R,Secreted Signaling,PMID: 31556942
UTS2B,SSTR5,Secreted Signaling,PMID: 31556942
BAG6,NCR3,Secreted Signaling,PMID: 30021652
LGALS9,HAVCR2,Secreted Signaling,PMID: 27192565
LGALS9,CD44,Secreted Signaling,PMID: 25065622
ADGRE5,CD55B,Cell-Cell Contact,PMID: 11297558
ALCAM,CD6,Cell-Cell Contact,KEGG: hsa04514
ANXA1,FPR2,Cell-Cell Contact,PMID: 22610094
ANXA1,FPR3,Cell-Cell Contact,PMID: 22610094
APP,CD74,Cell-Cell Contact,PMID: 19849849
BST2,PIRA2,Cell-Cell Contact,PMID: 19564354
CADM1,CADM1,Cell-Cell Contact,PMID: 24503895
CADM3,CADM3,Cell-Cell Contact,KEGG: hsa04514
CD1D2,PIRA2,Cell-Cell Contact,PMID: 19124746
CD200,CD200R1,Cell-Cell Contact,PMID: 15187158
CD200,CD200R2,Cell-Cell Contact,KEGG: hsa04514
CD200,CD200R3,Cell-Cell Contact,PMID: 22020332
CD200,CD200R4,Cell-Cell Contact,KEGG: hsa04514
CD22,PTPRC,Cell-Cell Contact,KEGG: hsa04514
CD226,NECTIN2,Cell-Cell Contact,PMID: 24440149
CD226,PVR,Cell-Cell Contact,PMID: 24440149
FCER2,ITGAM,Cell-Cell Contact,PMID: 7621072
FCER2,ITGB2,Cell-Cell Contact,PMID: 7621072
FCER2,ITGAX,Cell-Cell Contact,PMID: 7621072
FCER2,ITGB2,Cell-Cell Contact,PMID: 7621072
FCER2,ITGAV,Cell-Cell Contact,PMID: 10037797
FCER2,ITGB3,Cell-Cell Contact,PMID: 10037797
FCER2,CR2,Cell-Cell Contact,PMID: 16785534
CD34,SELP,Cell-Cell Contact,PMID: 18606703
ENTPD1,ADORA1,Cell-Cell Contact,PMID: 21677139
ENTPD1,ADORA2A,Cell-Cell Contact,PMID: 21677139
ENTPD1,ADORA2B,Cell-Cell Contact,PMID: 21677139
ENTPD1,TMIGD3,Cell-Cell Contact,PMID: 21677139
CD40LG,CD40,Cell-Cell Contact,KEGG: hsa04514
PTPRC,CD22,Cell-Cell Contact,PMID: 12115612
PTPRC,MRC1,Cell-Cell Contact,PMID: 27601670; PMID: 10575006
CD46,JAG1,Cell-Cell Contact,PMID: 23086448
CD48,CD244,Cell-Cell Contact,PMID: 26697006
CD52,SIGLECG,Cell-Cell Contact,PMID: 23685786
CD6,ALCAM,Cell-Cell Contact,PMID: 23602662
CD80,CD274,Cell-Cell Contact,PMID: 17629517; PMID: 18585785
CD80,CD28,Cell-Cell Contact,PMID: 23954143
CD80,CTLA4,Cell-Cell Contact,PMID: 23954143
CD86,CD28,Cell-Cell Contact,PMID: 23954143
CD86,CTLA4,Cell-Cell Contact,PMID: 23954143
CD96,NECTIN1,Cell-Cell Contact,PMID: 17971293
CD96,PVR,Cell-Cell Contact,PMID: 15034010
CD99,PILRA,Cell-Cell Contact,PMID: 18234675
CD99,CD99,Cell-Cell Contact,KEGG: hsa04514
CDH15,CDH15,Cell-Cell Contact,KEGG: hsa04514
CDH4,CDH4,Cell-Cell Contact,KEGG: hsa04514
CDH2,CDH2,Cell-Cell Contact,KEGG: hsa04514
CDH1,CDH1,Cell-Cell Contact,KEGG: hsa04514
CDH1,ITGA2,Cell-Cell Contact,PMID: 12392763
CDH1,ITGB1,Cell-Cell Contact,PMID: 12392763
CDH1,ITGAE,Cell-Cell Contact,PMID: 9425167
CDH1,ITGB7,Cell-Cell Contact,PMID: 9425167
CDH1,KLRG1,Cell-Cell Contact,PMID: 19604491
CDH5,CDH5,Cell-Cell Contact,KEGG: hsa04514
CD1D1,CEACAM5,Cell-Cell Contact,PMID: 24104458
CD209A,CEACAM1,Cell-Cell Contact,PMID: 16282604; PMID: 6246332
CD8A,CEACAM5,Cell-Cell Contact,PMID: 24104458
CEACAM1,CEACAM5,Cell-Cell Contact,PMID: 11590190
SELE,CEACAM1,Cell-Cell Contact,PMID: 1378450
CLDN11,CLDN11,Cell-Cell Contact,KEGG: hsa04514
CLEC2D,KLRB1B,Cell-Cell Contact,PMID: 24223577
CLEC2G,KLRB1,Cell-Cell Contact,PMID: 24223577
CLEC2H,KLRB1,Cell-Cell Contact,PMID: 24223577
CLEC2I,KLRB1,Cell-Cell Contact,PMID: 24223577
CLEC2F,KLRB1F,Cell-Cell Contact,PMID: 24223577
CLEC2G,KLRB1F,Cell-Cell Contact,PMID: 24223577
CLEC2I,KLRB1F,Cell-Cell Contact,PMID: 24223577
NFASC,CNTN1,Cell-Cell Contact,KEGG: hsa04514
NFASC,CNTNAP1,Cell-Cell Contact,KEGG: hsa04514
CNTN2,CNTN2,Cell-Cell Contact,KEGG: hsa04514
CNTN2,CNTNAP2,Cell-Cell Contact,KEGG: hsa04514
CNTN2,L1CAM,Cell-Cell Contact,KEGG: hsa04514
CNTN2,CNTN2,Cell-Cell Contact,KEGG: hsa04514
CNTN1,NRCAM,Cell-Cell Contact,KEGG: hsa04514
CSPG4,ITGA3,Cell-Cell Contact,PMID: 30213051
CSPG4,ITGB1,Cell-Cell Contact,PMID: 30213051
DSC1,DSG1C,Cell-Cell Contact,PMID: 27298358
DSC1,DSG2,Cell-Cell Contact,PMID: 27298358
DSC2,DSG1C,Cell-Cell Contact,PMID: 27298358
DSC2,DSG2,Cell-Cell Contact,PMID: 27298358
DSG1C,DSC3,Cell-Cell Contact,PMID: 27298358
DSG2,DSC3,Cell-Cell Contact,PMID: 27298358
EPGN,EGFR,Cell-Cell Contact,PMID: 27298358
EFNA1,EPHA1,Cell-Cell Contact,PMID: 15114347
EFNA1,EPHA2,Cell-Cell Contact,PMID: 15114347
EFNA1,EPHA3,Cell-Cell Contact,PMID: 15114347
EFNA1,EPHA4,Cell-Cell Contact,PMID: 15114347
EFNA1,EPHA5,Cell-Cell Contact,PMID: 15114347
EFNA1,EPHA7,Cell-Cell Contact,PMID: 15114347
EFNA1,EPHA8,Cell-Cell Contact,PMID: 15114347
EFNA2,EPHA1,Cell-Cell Contact,PMID: 15114347
EFNA2,EPHA2,Cell-Cell Contact,PMID: 15114347
EFNA2,EPHA3,Cell-Cell Contact,PMID: 15114347
EFNA2,EPHA4,Cell-Cell Contact,PMID: 15114347
EFNA2,EPHA5,Cell-Cell Contact,PMID: 15114347
EFNA2,EPHA7,Cell-Cell Contact,PMID: 15114347
EFNA2,EPHA8,Cell-Cell Contact,PMID: 15114347
EFNA3,EPHA1,Cell-Cell Contact,PMID: 15114347
EFNA3,EPHA2,Cell-Cell Contact,PMID: 15114347
EFNA3,EPHA3,Cell-Cell Contact,PMID: 15114347
EFNA3,EPHA4,Cell-Cell Contact,PMID: 15114347
EFNA3,EPHA5,Cell-Cell Contact,PMID: 15114347
EFNA3,EPHA7,Cell-Cell Contact,PMID: 15114347
EFNA3,EPHA8,Cell-Cell Contact,PMID: 15114347
EFNA4,EPHA1,Cell-Cell Contact,PMID: 15114347
EFNA4,EPHA2,Cell-Cell Contact,PMID: 15114347
EFNA4,EPHA3,Cell-Cell Contact,PMID: 15114347
EFNA4,EPHA4,Cell-Cell Contact,PMID: 15114347
EFNA4,EPHA5,Cell-Cell Contact,PMID: 15114347
EFNA4,EPHA7,Cell-Cell Contact,PMID: 15114347
EFNA4,EPHA8,Cell-Cell Contact,PMID: 15114347
EFNA5,EPHA1,Cell-Cell Contact,PMID: 15114347
EFNA5,EPHA2,Cell-Cell Contact,PMID: 15114347
EFNA5,EPHA3,Cell-Cell Contact,PMID: 15114347
EFNA5,EPHA4,Cell-Cell Contact,PMID: 15114347
